context,prompt,answer
"Frederick William, Elector of Brandenburg, invited Huguenots to settle in his realms, and a number of their descendants rose to positions of prominence in Prussia. Several prominent German military, cultural, and political figures were ethnic Huguenot, including poet Theodor Fontane, General Hermann von François, the hero of the First World War Battle of Tannenberg, Luftwaffe General and fighter ace Adolf Galland, Luftwaffe flying ace Hans-Joachim Marseille, and famed U-boat captain Lothar von Arnauld de la Perière. The last Prime Minister of the (East) German Democratic Republic, Lothar de Maizière, is also a descendant of a Huguenot family, as is the German Federal Minister of the Interior, Thomas de Maizière.","Frederick William, Elector of Brandenburg, invited Huguenots to settle in his realms, and a number of their descendants rose to positions of prominence in Prussia. Several prominent German military, cultural, and political figures were ethnic Huguenot, including poet Theodor Fontane, General Hermann von François, the hero of the First World War Battle of Tannenberg, Luftwaffe General and fighter ace Adolf Galland, Luftwaffe flying ace Hans-Joachim Marseille, and famed U-boat captain Lothar von Arnauld de la Perière. The last Prime Minister of the (East) German Democratic Republic, Lothar de Maizière, is also a descendant of a Huguenot family, as is the German Federal Minister of the Interior, Thomas de Maizière.
----
Question: Thomas de Maiziere serves what role in the German cabinet?
Response: ['Federal Minister of the Interior']
----
Question: What is another name for the Yosemite Freeway?
Response: ['State Route 41']
----
Question: The Mitchell Tower is designed to look like what Oxford tower?
Response: ['Magdalen Tower']
----
Question: What river runs alongside Jacksonville?
Response: ",St. Johns River
"Tesla was renowned for his achievements and showmanship, eventually earning him a reputation in popular culture as an archetypal ""mad scientist"". His patents earned him a considerable amount of money, much of which was used to finance his own projects with varying degrees of success.:121,154 He lived most of his life in a series of New York hotels, through his retirement. Tesla died on 7 January 1943. His work fell into relative obscurity after his death, but in 1960 the General Conference on Weights and Measures named the SI unit of magnetic flux density the tesla in his honor. There has been a resurgence in popular interest in Tesla since the 1990s.","Tesla was renowned for his achievements and showmanship, eventually earning him a reputation in popular culture as an archetypal ""mad scientist"". His patents earned him a considerable amount of money, much of which was used to finance his own projects with varying degrees of success.:121,154 He lived most of his life in a series of New York hotels, through his retirement. Tesla died on 7 January 1943. His work fell into relative obscurity after his death, but in 1960 the General Conference on Weights and Measures named the SI unit of magnetic flux density the tesla in his honor. There has been a resurgence in popular interest in Tesla since the 1990s.
----
Question: What year did Tesla die?
Response: ['1943']
----
Question: When was liquid oxygen developed for commercial use?
Response: ['1895']
----
Question: The Mark of Anarchy was written to protest against what?
Response: ['unjust forms of authority']
----
Question: How far is Jacksonville from Miami?
Response: ",340 miles
"Six-time Grammy winner and Academy Award nominee Lady Gaga performed the national anthem, while Academy Award winner Marlee Matlin provided American Sign Language (ASL) translation.","Six-time Grammy winner and Academy Award nominee Lady Gaga performed the national anthem, while Academy Award winner Marlee Matlin provided American Sign Language (ASL) translation.
----
Question: Who did the National Anthem at Super Bowl 50?
Response: ['Lady Gaga']
----
Question: When did Luther's writings to spread to France, England and Italy?
Response: ['1519']
----
Question: Where are issues like abortion and drug policy legislated on?
Response: ['Westminster']
----
Question: What is the name of the French colony established in 1564?
Response: ",Fort Caroline
"The Broncos defeated the Pittsburgh Steelers in the divisional round, 23–16, by scoring 11 points in the final three minutes of the game. They then beat the defending Super Bowl XLIX champion New England Patriots in the AFC Championship Game, 20–18, by intercepting a pass on New England's 2-point conversion attempt with 17 seconds left on the clock. Despite Manning's problems with interceptions during the season, he didn't throw any in their two playoff games.","The Broncos defeated the Pittsburgh Steelers in the divisional round, 23–16, by scoring 11 points in the final three minutes of the game. They then beat the defending Super Bowl XLIX champion New England Patriots in the AFC Championship Game, 20–18, by intercepting a pass on New England's 2-point conversion attempt with 17 seconds left on the clock. Despite Manning's problems with interceptions during the season, he didn't throw any in their two playoff games.
----
Question: What was the final score of the AFC Championship Game?
Response: ['20–18']
----
Question: How can function problems typically be restated?
Response: ['as decision problems']
----
Question: Who was one French pro-reform Roman Catholic of the 15th century?
Response: ['Jacques Lefevre']
----
Question: Prior to the arrival of the French, the area now known as Jacksonville was previously inhabited by what people?
Response: ",the Timucua
"Environmentalists are concerned about loss of biodiversity that will result from destruction of the forest, and also about the release of the carbon contained within the vegetation, which could accelerate global warming. Amazonian evergreen forests account for about 10% of the world's terrestrial primary productivity and 10% of the carbon stores in ecosystems—of the order of 1.1 × 1011 metric tonnes of carbon. Amazonian forests are estimated to have accumulated 0.62 ± 0.37 tons of carbon per hectare per year between 1975 and 1996.","Environmentalists are concerned about loss of biodiversity that will result from destruction of the forest, and also about the release of the carbon contained within the vegetation, which could accelerate global warming. Amazonian evergreen forests account for about 10% of the world's terrestrial primary productivity and 10% of the carbon stores in ecosystems—of the order of 1.1 × 1011 metric tonnes of carbon. Amazonian forests are estimated to have accumulated 0.62 ± 0.37 tons of carbon per hectare per year between 1975 and 1996.
----
Question: What are environmentalists concerned about having released from the Amazon region?
Response: ['carbon contained within the vegetation']
----
Question: Which famous Indian took a plea and put himself at the mercy of the courts?
Response: ['Mohandas Gandhi']
----
Question: ENR used data on what to rank Top 400 firms as heavy contractors?
Response: ['transportation, sewer, hazardous waste and water']
----
Question: What historical figure was Jacksonville named after?
Response: ",Andrew Jackson
"The embargo had a negative influence on the US economy by causing immediate demands to address the threats to U.S. energy security. On an international level, the price increases changed competitive positions in many industries, such as automobiles. Macroeconomic problems consisted of both inflationary and deflationary impacts. The embargo left oil companies searching for new ways to increase oil supplies, even in rugged terrain such as the Arctic. Finding oil and developing new fields usually required five to ten years before significant production.","The embargo had a negative influence on the US economy by causing immediate demands to address the threats to U.S. energy security. On an international level, the price increases changed competitive positions in many industries, such as automobiles. Macroeconomic problems consisted of both inflationary and deflationary impacts. The embargo left oil companies searching for new ways to increase oil supplies, even in rugged terrain such as the Arctic. Finding oil and developing new fields usually required five to ten years before significant production.
----
Question: The oil crisis caused oil companies to increase oil supplies in which area?
Response: ['Arctic']
----
Question: what is Internet2
Response: ['a not-for-profit United States computer networking consortium led by members from the research and education communities, industry, and government']
----
Question: How long did plague last in the Ottoman empire?
Response: ['until the second quarter of the 19th century']
----
Question: What storm had the most significant impact on Jacksonville?
Response: ",Hurricane Dora
"With 4:51 left in regulation, Carolina got the ball on their own 24-yard line with a chance to mount a game-winning drive, and soon faced 3rd-and-9. On the next play, Miller stripped the ball away from Newton, and after several players dove for it, it took a long bounce backwards and was recovered by Ward, who returned it five yards to the Panthers 4-yard line. Although several players dove into the pile to attempt to recover it, Newton did not and his lack of aggression later earned him heavy criticism. Meanwhile, Denver's offense was kept out of the end zone for three plays, but a holding penalty on cornerback Josh Norman gave the Broncos a new set of downs. Then Anderson scored on a 2-yard touchdown run and Manning completed a pass to Bennie Fowler for a 2-point conversion, giving Denver a 24–10 lead with 3:08 left and essentially putting the game away. Carolina had two more drives, but failed to get a first down on each one.","With 4:51 left in regulation, Carolina got the ball on their own 24-yard line with a chance to mount a game-winning drive, and soon faced 3rd-and-9. On the next play, Miller stripped the ball away from Newton, and after several players dove for it, it took a long bounce backwards and was recovered by Ward, who returned it five yards to the Panthers 4-yard line. Although several players dove into the pile to attempt to recover it, Newton did not and his lack of aggression later earned him heavy criticism. Meanwhile, Denver's offense was kept out of the end zone for three plays, but a holding penalty on cornerback Josh Norman gave the Broncos a new set of downs. Then Anderson scored on a 2-yard touchdown run and Manning completed a pass to Bennie Fowler for a 2-point conversion, giving Denver a 24–10 lead with 3:08 left and essentially putting the game away. Carolina had two more drives, but failed to get a first down on each one.
----
Question: What was the time on the clock when Carolina got the ball to their 24-yard line in the fourth quarter?
Response: ['4:51']
----
Question: What is the hymn known as in English?
Response: ['Flung to the Heedless Winds']
----
Question: Evidence indicates that Cydippids are not what?
Response: ['monophyletic']
----
Question: How fast were the winds around St. Augustine in the 1964 hurricane?
Response: ",110 mph
"The Broncos defeated the Pittsburgh Steelers in the divisional round, 23–16, by scoring 11 points in the final three minutes of the game. They then beat the defending Super Bowl XLIX champion New England Patriots in the AFC Championship Game, 20–18, by intercepting a pass on New England's 2-point conversion attempt with 17 seconds left on the clock. Despite Manning's problems with interceptions during the season, he didn't throw any in their two playoff games.","The Broncos defeated the Pittsburgh Steelers in the divisional round, 23–16, by scoring 11 points in the final three minutes of the game. They then beat the defending Super Bowl XLIX champion New England Patriots in the AFC Championship Game, 20–18, by intercepting a pass on New England's 2-point conversion attempt with 17 seconds left on the clock. Despite Manning's problems with interceptions during the season, he didn't throw any in their two playoff games.
----
Question: Who lost to the Broncos in the divisional round?
Response: ['Pittsburgh Steelers']
----
Question: How many same-sex married couples or partnerships were there?
Response: ['1,388']
----
Question: How much of the greenhouse effect is due to carbon dioxide?
Response: ['over half']
----
Question: What was the name of the storm that hit Jacksonville in May of 2012?
Response: ",Tropical Storm Beryl
"Since its founding, the EU has operated among an increasing plurality of national and globalising legal systems. This has meant both the European Court of Justice and the highest national courts have had to develop principles to resolve conflicts of laws between different systems. Within the EU itself, the Court of Justice's view is that if EU law conflicts with a provision of national law, then EU law has primacy. In the first major case in 1964, Costa v ENEL, a Milanese lawyer, and former shareholder of an energy company, named Mr Costa refused to pay his electricity bill to Enel, as a protest against the nationalisation of the Italian energy corporations. He claimed the Italian nationalisation law conflicted with the Treaty of Rome, and requested a reference be made to both the Italian Constitutional Court and the Court of Justice under TFEU article 267. The Italian Constitutional Court gave an opinion that because the nationalisation law was from 1962, and the treaty was in force from 1958, Costa had no claim. By contrast, the Court of Justice held that ultimately the Treaty of Rome in no way prevented energy nationalisation, and in any case under the Treaty provisions only the Commission could have brought a claim, not Mr Costa. However, in principle, Mr Costa was entitled to plead that the Treaty conflicted with national law, and the court would have a duty to consider his claim to make a reference if there would be no appeal against its decision. The Court of Justice, repeating its view in Van Gend en Loos, said member states ""albeit within limited spheres, have restricted their sovereign rights and created a body of law applicable both to their nationals and to themselves"" on the ""basis of reciprocity"". EU law would not ""be overridden by domestic legal provisions, however framed... without the legal basis of the community itself being called into question."" This meant any ""subsequent unilateral act"" of the member state inapplicable. Similarly, in Amministrazione delle Finanze v Simmenthal SpA, a company, Simmenthal SpA, claimed that a public health inspection fee under an Italian law of 1970 for importing beef from France to Italy was contrary to two Regulations from 1964 and 1968. In ""accordance with the principle of the precedence of Community law,"" said the Court of Justice, the ""directly applicable measures of the institutions"" (such as the Regulations in the case) ""render automatically inapplicable any conflicting provision of current national law"". This was necessary to prevent a ""corresponding denial"" of Treaty ""obligations undertaken unconditionally and irrevocably by member states"", that could ""imperil the very foundations of the"" EU. But despite the views of the Court of Justice, the national courts of member states have not accepted the same analysis.","Since its founding, the EU has operated among an increasing plurality of national and globalising legal systems. This has meant both the European Court of Justice and the highest national courts have had to develop principles to resolve conflicts of laws between different systems. Within the EU itself, the Court of Justice's view is that if EU law conflicts with a provision of national law, then EU law has primacy. In the first major case in 1964, Costa v ENEL, a Milanese lawyer, and former shareholder of an energy company, named Mr Costa refused to pay his electricity bill to Enel, as a protest against the nationalisation of the Italian energy corporations. He claimed the Italian nationalisation law conflicted with the Treaty of Rome, and requested a reference be made to both the Italian Constitutional Court and the Court of Justice under TFEU article 267. The Italian Constitutional Court gave an opinion that because the nationalisation law was from 1962, and the treaty was in force from 1958, Costa had no claim. By contrast, the Court of Justice held that ultimately the Treaty of Rome in no way prevented energy nationalisation, and in any case under the Treaty provisions only the Commission could have brought a claim, not Mr Costa. However, in principle, Mr Costa was entitled to plead that the Treaty conflicted with national law, and the court would have a duty to consider his claim to make a reference if there would be no appeal against its decision. The Court of Justice, repeating its view in Van Gend en Loos, said member states ""albeit within limited spheres, have restricted their sovereign rights and created a body of law applicable both to their nationals and to themselves"" on the ""basis of reciprocity"". EU law would not ""be overridden by domestic legal provisions, however framed... without the legal basis of the community itself being called into question."" This meant any ""subsequent unilateral act"" of the member state inapplicable. Similarly, in Amministrazione delle Finanze v Simmenthal SpA, a company, Simmenthal SpA, claimed that a public health inspection fee under an Italian law of 1970 for importing beef from France to Italy was contrary to two Regulations from 1964 and 1968. In ""accordance with the principle of the precedence of Community law,"" said the Court of Justice, the ""directly applicable measures of the institutions"" (such as the Regulations in the case) ""render automatically inapplicable any conflicting provision of current national law"". This was necessary to prevent a ""corresponding denial"" of Treaty ""obligations undertaken unconditionally and irrevocably by member states"", that could ""imperil the very foundations of the"" EU. But despite the views of the Court of Justice, the national courts of member states have not accepted the same analysis.
----
Question: What were the years two Regulations that conflicted with an Italian law originate in the Simmenthal SpA case?
Response: ['1964 and 1968']
----
Question: When did the movement that would become The United Methodist Church begin?
Response: ['mid-18th century']
----
Question: How many men did Duquesne send to relieve  Saint-Pierre ?
Response: ['40']
----
Question: What is the scale used to measure the strength of hurricanes called?
Response: ",Saffir-Simpson Scale
"Oxygen was discovered independently by Carl Wilhelm Scheele, in Uppsala, in 1773 or earlier, and Joseph Priestley in Wiltshire, in 1774, but Priestley is often given priority because his work was published first. The name oxygen was coined in 1777 by Antoine Lavoisier, whose experiments with oxygen helped to discredit the then-popular phlogiston theory of combustion and corrosion. Its name derives from the Greek roots ὀξύς oxys, ""acid"", literally ""sharp"", referring to the sour taste of acids and -γενής -genes, ""producer"", literally ""begetter"", because at the time of naming, it was mistakenly thought that all acids required oxygen in their composition. Common uses of oxygen includes the production cycle of steel, plastics and textiles, brazing, welding and cutting of steels and other metals, rocket propellant, in oxygen therapy and life support systems in aircraft, submarines, spaceflight and diving.","Oxygen was discovered independently by Carl Wilhelm Scheele, in Uppsala, in 1773 or earlier, and Joseph Priestley in Wiltshire, in 1774, but Priestley is often given priority because his work was published first. The name oxygen was coined in 1777 by Antoine Lavoisier, whose experiments with oxygen helped to discredit the then-popular phlogiston theory of combustion and corrosion. Its name derives from the Greek roots ὀξύς oxys, ""acid"", literally ""sharp"", referring to the sour taste of acids and -γενής -genes, ""producer"", literally ""begetter"", because at the time of naming, it was mistakenly thought that all acids required oxygen in their composition. Common uses of oxygen includes the production cycle of steel, plastics and textiles, brazing, welding and cutting of steels and other metals, rocket propellant, in oxygen therapy and life support systems in aircraft, submarines, spaceflight and diving.
----
Question: What previous work did Lavoisier experiments discredit?
Response: ['phlogiston theory of combustion and corrosion']
----
Question: What route connects Fresno with the California Central Valley?
Response: ['State Route 99']
----
Question: In what year was an early admission program reintroduced?
Response: ['2016']
----
Question: In what year did a tropical storm cause a four day loss of power to Jacksonville?
Response: ",2008
"Historically, Victoria has been the base for the manufacturing plants of the major car brands Ford, Toyota and Holden; however, closure announcements by all three companies in the 21st century will mean that Australia will no longer be a base for the global car industry, with Toyota's statement in February 2014 outlining a closure year of 2017. Holden's announcement occurred in May 2013, followed by Ford's decision in December of the same year (Ford's Victorian plants—in Broadmeadows and Geelong—will close in October 2016).","Historically, Victoria has been the base for the manufacturing plants of the major car brands Ford, Toyota and Holden; however, closure announcements by all three companies in the 21st century will mean that Australia will no longer be a base for the global car industry, with Toyota's statement in February 2014 outlining a closure year of 2017. Holden's announcement occurred in May 2013, followed by Ford's decision in December of the same year (Ford's Victorian plants—in Broadmeadows and Geelong—will close in October 2016).
----
Question: What type of manufacturing plant is Victoria soon losing?
Response: ['major car brands']
----
Question: What type of surveys show the location of stratigraphic units in the subsurface?
Response: ['geophysical']
----
Question: The Mark of Anarchy was written to protest against what?
Response: ['unjust forms of authority']
----
Question: Which Florida city has the biggest population?
Response: ",Jacksonville
"The city has two universities — Newcastle University and Northumbria University. Newcastle University has its origins in the School of Medicine and Surgery, established in 1834 and became independent from Durham University on 1 August 1963 to form the University of Newcastle upon Tyne. Newcastle University is now one of the UK's leading international universities. It won the coveted Sunday Times University of the Year award in 2000. Northumbria University has its origins in the Newcastle Polytechnic, established in 1969 and became the University of Northumbria at Newcastle in 1992 as part of the UK-wide process in which polytechnics became new universities. Northumbria University was voted 'Best New University' by The Times Good University Guide 2005 and also won a much coveted company award of the ""Most IT enabled organisation"" (in the UK), by the IT industry magazine Computing.","The city has two universities — Newcastle University and Northumbria University. Newcastle University has its origins in the School of Medicine and Surgery, established in 1834 and became independent from Durham University on 1 August 1963 to form the University of Newcastle upon Tyne. Newcastle University is now one of the UK's leading international universities. It won the coveted Sunday Times University of the Year award in 2000. Northumbria University has its origins in the Newcastle Polytechnic, established in 1969 and became the University of Northumbria at Newcastle in 1992 as part of the UK-wide process in which polytechnics became new universities. Northumbria University was voted 'Best New University' by The Times Good University Guide 2005 and also won a much coveted company award of the ""Most IT enabled organisation"" (in the UK), by the IT industry magazine Computing.
----
Question: What did Newcastle University win in 2000?
Response: ['Sunday Times University of the Year award']
----
Question: Goldenson proposed a merger between UPT and what network in October 1954?
Response: ['DuMont Television Network']
----
Question: What principle highlights the significance of primes in number theory
Response: ['local-global principle']
----
Question: What was the population Jacksonville city as of 2010?
Response: ","1,345,596"
"The Standard Industrial Classification and the newer North American Industry Classification System have a classification system for companies that perform or otherwise engage in construction. To recognize the differences of companies in this sector, it is divided into three subsectors: building construction, heavy and civil engineering construction, and specialty trade contractors. There are also categories for construction service firms (e.g., engineering, architecture) and construction managers (firms engaged in managing construction projects without assuming direct financial responsibility for completion of the construction project).","The Standard Industrial Classification and the newer North American Industry Classification System have a classification system for companies that perform or otherwise engage in construction. To recognize the differences of companies in this sector, it is divided into three subsectors: building construction, heavy and civil engineering construction, and specialty trade contractors. There are also categories for construction service firms (e.g., engineering, architecture) and construction managers (firms engaged in managing construction projects without assuming direct financial responsibility for completion of the construction project).
----
Question: There are other categories for what?
Response: ['construction service firms (e.g., engineering, architecture) and construction managers']
----
Question: What is the name of Doctor Who granddaughter?
Response: ['Susan Foreman']
----
Question: When did French Republicans back building the French empire?
Response: ['when Germany started to build her own colonial empire']
----
Question: Based on population alone, what is Jacksonville's ranking in the United States?
Response: ",12th
"Hyperbaric (high-pressure) medicine uses special oxygen chambers to increase the partial pressure of O
2 around the patient and, when needed, the medical staff. Carbon monoxide poisoning, gas gangrene, and decompression sickness (the 'bends') are sometimes treated using these devices. Increased O
2 concentration in the lungs helps to displace carbon monoxide from the heme group of hemoglobin. Oxygen gas is poisonous to the anaerobic bacteria that cause gas gangrene, so increasing its partial pressure helps kill them. Decompression sickness occurs in divers who decompress too quickly after a dive, resulting in bubbles of inert gas, mostly nitrogen and helium, forming in their blood. Increasing the pressure of O
2 as soon as possible is part of the treatment.","Hyperbaric (high-pressure) medicine uses special oxygen chambers to increase the partial pressure of O
2 around the patient and, when needed, the medical staff. Carbon monoxide poisoning, gas gangrene, and decompression sickness (the 'bends') are sometimes treated using these devices. Increased O
2 concentration in the lungs helps to displace carbon monoxide from the heme group of hemoglobin. Oxygen gas is poisonous to the anaerobic bacteria that cause gas gangrene, so increasing its partial pressure helps kill them. Decompression sickness occurs in divers who decompress too quickly after a dive, resulting in bubbles of inert gas, mostly nitrogen and helium, forming in their blood. Increasing the pressure of O
2 as soon as possible is part of the treatment.
----
Question: To what pathogen that causes gas gangrene is oxygen poisonous?
Response: ['anaerobic bacteria']
----
Question: The Talbot Hughes collection was a gift from which company?
Response: ['Harrods']
----
Question: What UN secretary went to Harvard?
Response: ['Ban Ki-moon']
----
Question: In which county does Jacksonville reside?
Response: ",Duval County
"With a budget of $230,000, the surviving original lunar broadcast data from Apollo 11 was compiled by Nafzger and assigned to Lowry Digital for restoration. The video was processed to remove random noise and camera shake without destroying historical legitimacy. The images were from tapes in Australia, the CBS News archive, and kinescope recordings made at Johnson Space Center. The restored video, remaining in black and white, contains conservative digital enhancements and did not include sound quality improvements.","With a budget of $230,000, the surviving original lunar broadcast data from Apollo 11 was compiled by Nafzger and assigned to Lowry Digital for restoration. The video was processed to remove random noise and camera shake without destroying historical legitimacy. The images were from tapes in Australia, the CBS News archive, and kinescope recordings made at Johnson Space Center. The restored video, remaining in black and white, contains conservative digital enhancements and did not include sound quality improvements.
----
Question: Were the restored tapes able to have color added to them to enhance the picture or did they remain black and white?
Response: ['black and white']
----
Question: What is it called when there is an active attempt to overthrow a government or belief system?
Response: ['Revolutionary civil disobedience']
----
Question: What historical figure was Jacksonville named after?
Response: ['Andrew Jackson']
----
Question: What year did consolidation cause Jacksonville to become part of Duval County?
Response: ",1968
"Nearby, in Ogród Saski (the Saxon Garden), the Summer Theatre was in operation from 1870 to 1939, and in the inter-war period, the theatre complex also included Momus, Warsaw's first literary cabaret, and Leon Schiller's musical theatre Melodram. The Wojciech Bogusławski Theatre (1922–26), was the best example of ""Polish monumental theatre"". From the mid-1930s, the Great Theatre building housed the Upati Institute of Dramatic Arts – the first state-run academy of dramatic art, with an acting department and a stage directing department.","Nearby, in Ogród Saski (the Saxon Garden), the Summer Theatre was in operation from 1870 to 1939, and in the inter-war period, the theatre complex also included Momus, Warsaw's first literary cabaret, and Leon Schiller's musical theatre Melodram. The Wojciech Bogusławski Theatre (1922–26), was the best example of ""Polish monumental theatre"". From the mid-1930s, the Great Theatre building housed the Upati Institute of Dramatic Arts – the first state-run academy of dramatic art, with an acting department and a stage directing department.
----
Question: What theatre was the best example of ""Polish monumental theatre""?
Response: ['Wojciech Bogusławski Theatre']
----
Question: When were some of Luther's best-known works published?
Response: ['1520']
----
Question: Between which two streets along Kearney Boulevard were wealthy African-Americans at one time residing?
Response: ['Fresno Street and Thorne Ave']
----
Question: What drove residents to quieter suburban housing?
Response: ",highways
"The Amazon rainforest (Portuguese: Floresta Amazônica or Amazônia; Spanish: Selva Amazónica, Amazonía or usually Amazonia; French: Forêt amazonienne; Dutch: Amazoneregenwoud), also known in English as Amazonia or the Amazon Jungle, is a moist broadleaf forest that covers most of the Amazon basin of South America. This basin encompasses 7,000,000 square kilometres (2,700,000 sq mi), of which 5,500,000 square kilometres (2,100,000 sq mi) are covered by the rainforest. This region includes territory belonging to nine nations. The majority of the forest is contained within Brazil, with 60% of the rainforest, followed by Peru with 13%, Colombia with 10%, and with minor amounts in Venezuela, Ecuador, Bolivia, Guyana, Suriname and French Guiana. States or departments in four nations contain ""Amazonas"" in their names. The Amazon represents over half of the planet's remaining rainforests, and comprises the largest and most biodiverse tract of tropical rainforest in the world, with an estimated 390 billion individual trees divided into 16,000 species.","The Amazon rainforest (Portuguese: Floresta Amazônica or Amazônia; Spanish: Selva Amazónica, Amazonía or usually Amazonia; French: Forêt amazonienne; Dutch: Amazoneregenwoud), also known in English as Amazonia or the Amazon Jungle, is a moist broadleaf forest that covers most of the Amazon basin of South America. This basin encompasses 7,000,000 square kilometres (2,700,000 sq mi), of which 5,500,000 square kilometres (2,100,000 sq mi) are covered by the rainforest. This region includes territory belonging to nine nations. The majority of the forest is contained within Brazil, with 60% of the rainforest, followed by Peru with 13%, Colombia with 10%, and with minor amounts in Venezuela, Ecuador, Bolivia, Guyana, Suriname and French Guiana. States or departments in four nations contain ""Amazonas"" in their names. The Amazon represents over half of the planet's remaining rainforests, and comprises the largest and most biodiverse tract of tropical rainforest in the world, with an estimated 390 billion individual trees divided into 16,000 species.
----
Question: What percentage does the Amazon represents in rainforests on the planet?
Response: [""The Amazon represents over half of the planet's remaining rainforests""]
----
Question: X.25 uses what type network type
Response: ['User Datagram Protocol']
----
Question: What British Prime minister advisor is also a university alumni member?
Response: ['George Stigler']
----
Question: What was the white population of Jacksonville as of 2010?
Response: ",55.1%
"Although the reciprocating steam engine is no longer in widespread commercial use, various companies are exploring or exploiting the potential of the engine as an alternative to internal combustion engines. The company Energiprojekt AB in Sweden has made progress in using modern materials for harnessing the power of steam. The efficiency of Energiprojekt's steam engine reaches some 27-30% on high-pressure engines. It is a single-step, 5-cylinder engine (no compound) with superheated steam and consumes approx. 4 kg (8.8 lb) of steam per kWh.[not in citation given]","Although the reciprocating steam engine is no longer in widespread commercial use, various companies are exploring or exploiting the potential of the engine as an alternative to internal combustion engines. The company Energiprojekt AB in Sweden has made progress in using modern materials for harnessing the power of steam. The efficiency of Energiprojekt's steam engine reaches some 27-30% on high-pressure engines. It is a single-step, 5-cylinder engine (no compound) with superheated steam and consumes approx. 4 kg (8.8 lb) of steam per kWh.[not in citation given]
----
Question: Where is Energiprojekt AB based?
Response: ['Sweden']
----
Question: What is included with each packet label
Response: ['destination address, source address, and port numbers']
----
Question: Who was the leader of the Islamist regime in Sudan?
Response: ['Hassan al-Turabi']
----
Question: What term referred to middle class citizens leaving the suburbs?
Response: ",white flight
"Disorders of the immune system can result in autoimmune diseases, inflammatory diseases and cancer. Immunodeficiency occurs when the immune system is less active than normal, resulting in recurring and life-threatening infections. In humans, immunodeficiency can either be the result of a genetic disease such as severe combined immunodeficiency, acquired conditions such as HIV/AIDS, or the use of immunosuppressive medication. In contrast, autoimmunity results from a hyperactive immune system attacking normal tissues as if they were foreign organisms. Common autoimmune diseases include Hashimoto's thyroiditis, rheumatoid arthritis, diabetes mellitus type 1, and systemic lupus erythematosus. Immunology covers the study of all aspects of the immune system.","Disorders of the immune system can result in autoimmune diseases, inflammatory diseases and cancer. Immunodeficiency occurs when the immune system is less active than normal, resulting in recurring and life-threatening infections. In humans, immunodeficiency can either be the result of a genetic disease such as severe combined immunodeficiency, acquired conditions such as HIV/AIDS, or the use of immunosuppressive medication. In contrast, autoimmunity results from a hyperactive immune system attacking normal tissues as if they were foreign organisms. Common autoimmune diseases include Hashimoto's thyroiditis, rheumatoid arthritis, diabetes mellitus type 1, and systemic lupus erythematosus. Immunology covers the study of all aspects of the immune system.
----
Question: What field involves the study of the immune system?
Response: ['Immunology']
----
Question: What type of civil disobedience is larger scale?
Response: ['Revolutionary civil disobedience']
----
Question: In what year was an early admission program reintroduced?
Response: ['2016']
----
Question: Who was responsible for the new building projects in Jacksonville?
Response: ",Mayor W. Haydon Burns
"The Broncos defeated the Pittsburgh Steelers in the divisional round, 23–16, by scoring 11 points in the final three minutes of the game. They then beat the defending Super Bowl XLIX champion New England Patriots in the AFC Championship Game, 20–18, by intercepting a pass on New England's 2-point conversion attempt with 17 seconds left on the clock. Despite Manning's problems with interceptions during the season, he didn't throw any in their two playoff games.","The Broncos defeated the Pittsburgh Steelers in the divisional round, 23–16, by scoring 11 points in the final three minutes of the game. They then beat the defending Super Bowl XLIX champion New England Patriots in the AFC Championship Game, 20–18, by intercepting a pass on New England's 2-point conversion attempt with 17 seconds left on the clock. Despite Manning's problems with interceptions during the season, he didn't throw any in their two playoff games.
----
Question: Who lost to the Broncos in the divisional round?
Response: ['Pittsburgh Steelers']
----
Question: What are longer growth spells associated with?
Response: ['more equality in the income distribution']
----
Question: When did Pachauri resign as chair of the IPCC?
Response: ['February 2015']
----
Question: Jacksonville began to suffer and decline after what major world event?
Response: ",World War II
